Time,Event Title,Location,Extra Info
7:30 - 9:30 AM,Outdoor Activity - Morning Hike,TBD,
9:00 - 10:30 AM,Continental Breakfast ,Booth Commons,
10:30 - 11:30 AM,Spring Music Celebration,Katharine Thayer Cate Memorial Chapel ,"Featuring Cate School Orchestra, Chorale, Camerata, and No Strings Attached"
11:00 - 1:00 PM,Brunch for all,Mesa House,
5:30 - 7:00 PM,Dinner,Booth Commons,
